BILLY LE GRAND;310;158
MONTEIGNET SUR L ANDELOT;287;143
VIEUX RUFFEC;458;228
LIETTRES;89;45
DAMMARD;263;132
BUIRE AU BOIS;117;59
MIALET;923;458
ST VAAST DE LONGMONT;251;124
GUISCRIFF;210;106
DROSAY;172;86
AULNAY;1376;688
ST CREPIN AUX BOIS;248;126
CHITRY LES MINES;266;132
CHARNAY LES MACON;346;173
CHEVANCEAUX;553;276
MAILLY CHAMPAGNE;270;134
CHAMP HAUT;389;193
ST BAZILE;367;184
MELLERAY;311;154
CORBON;330;163
NEUFMOULINS;159;79
ORSANCO;373;187
HEILLES;115;56
LES ESSARTS LES SEZANNE;299;149
JOUE LES TOURS;366;183
LE NEUFBOURG;501;251
COUESMES;399;201
FRANCESCAS;418;208
CHEVANNES;960;480
STOSSWIHR;286;144
SEMPIGNY;228;110
ST ETIENNE DE CHOMEIL;327;163
IZAUT DE L HOTEL;381;184
BLENOD LES TOUL;335;168
VRIANGE;355;179
ST GERMAIN LES SENAILLY;299;150
BIEF DES MAISONS;712;355
LE FRESNE PORET;509;254
CONCA;39;24
NEULISE;291;147
LIESSE NOTRE DAME;255;129
LA COTE;338;170
CHAUSSENANS;454;227
LE VICEL;219;109
SAULES;778;391
ST LAURENT DE LA PREE;1549;775
THEMINETTES;333;165
ST BIHY;329;166
BUCEELS;432;216
GRANDLUP ET FAY;234;115
ANGLIERS;1462;734
CLAIRMARAIS;78;38
CARENTAN LES MARAIS;398;200
CHAMPALLEMENT;329;165
MENOUX;272;136
PERQUIE;456;228
CHEVRY SOUS LE BIGNON;280;140
ST JEAN DE MARUEJOLS ET AVEJAN;477;239
CHAILLY EN BIERE;250;124
LA MONSELIE;339;169
NEMPONT ST FIRMIN;114;56
TREFUMEL;520;261
HERMEVILLE EN WOEVRE;369;184
PIERRE LA TREICHE;291;147
VAUCLAIX;300;149
FOSSES ET BALEYSSAC;453;227
PIQUECOS;166;84
SAMBOURG;249;124
MOISENAY;290;143
ST SULPICE SUR RISLE;229;116
LA FRESNAIE FAYEL;371;186
BREY ET MAISON DU BOIS;837;419
AMURE;637;319
CHEROY;264;133
ECHIROLLES;628;313
NOSSAGE ET BENEVENT;648;323
QUISSAC;994;497
FROMY;533;267
HURIEL;336;169
ABRESCHVILLER;241;121
ST PERAVY LA COLOMBE;245;123
LANGLEY;261;127
CHALAUTRE LA PETITE;293;148
CORREZE;367;184
LOCMINE;364;179
HONDAINVILLE;64;31
MIGNE;359;178
PAILHAC;213;106
WUENHEIM;173;86
VARENNES ST HONORAT;315;157
HEULAND;490;245
WIGNEHIES;223;111
ORIGNOLLES;560;280
CADILLAC EN FRONSADAIS;696;349
CUIGNIERES;197;99
LAMA;101;50
SOUCIRAC;386;193
VILLERS DEVANT LE THOUR;280;140
CONNAC;441;221
PAZY;293;147
ST SORLIN DE CONAC;1151;577
THENEUILLE;331;166
BERTREVILLE ST OUEN;298;149
ARGUT DESSOUS;499;232
ST LEGER DU GENNETEY;168;84
THOIRES;251;126
ST CHRISTOPHE EN BAZELLE;250;124
NAVACELLES;539;270
ROSIS;563;284
FRESNOY ANDAINVILLE;91;45
CHAMPIGNEUL CHAMPAGNE;298;150
MONTFORT;1056;528
TROCY EN MULTIEN;284;143
LA CHAPELLE CECELIN;576;290
PORT EN BESSIN HUPPAIN;427;212
MOLAMBOZ;215;106
ATTRAY;298;149
ROCHESSON;282;142
FAREBERSVILLER;238;119
PIERRELATTE;508;253
POUMAROUS;304;152
IMBLEVILLE;314;156
RURANGE LES THIONVILLE;418;211
ST URCIZE;337;168
NAUSSAC FONTANES;383;193
MOULAY;438;218
LAPLEAU;389;195
MONTREDON DES CORBIERES;515;257
MIGNY;259;130
AMIGNY;503;252
CHERMIZY AILLES;241;121
MALISSARD;439;219
MOULARES;425;212
LE CABANIAL;366;183
ST GERMAIN SUR SEVES;409;203
BORS DE BAIGNES;635;316
BERNEVILLE;133;66
VILLERS FARLAY;234;116
LA CHARCE;563;282
SIROD;630;315
BLERUAIS;455;228
BARTENHEIM;353;171
MEUNG SUR LOIRE;304;150
ST VICTOR DES OULES;355;177
LOURENTIES;373;187
CATTENIERES;146;73
MAINSAT;332;167
PRADIERS;369;184
TREVES;921;460
PARCEY;370;185
BOUXIERES AUX BOIS;294;148
BOIRY STE RICTRUDE;67;33
L HOPITAL D ORION;363;181
LA JARNE;1807;893
CARPIQUET;483;245
ST PRIEST EN MURAT;326;163
LE ROUSSET MARIZY;280;139
MARCILLY LA CAMPAGNE;323;161
STE JALLE;542;271
ESCAMES;274;138
ORBESSAN;197;98
TROUVILLE SUR MER;849;415
NIEPPE;90;50
CHATRES SUR CHER;322;161
VILLELAURE;651;325
MARS;637;317
LANLOUP;276;134
ST ANTOINE LA FORET;346;174
MONCHAUX SORENG;230;116
SERIGNAN DU COMTAT;575;287
TRESSANGE;590;299
MELLIONNEC;278;131
CARRIERES SOUS POISSY;311;155
SIROS;379;188
MARY;281;139
ST DENIS LA CHEVASSE;853;428
OSSE;402;201
GRANDVALS;347;173
NARGIS;242;120
BINIVILLE;410;204
ST AUBIN ROUTOT;212;105
Y;203;101
OBERDORF SPACHBACH;178;88
LAPEGE;357;176
TROISFONTAINES;260;130
COLEMBERT;65;32
FOURNEAUX LE VAL;406;202
TAXENNE;361;181
CHISSEY EN MORVAN;259;130
SORBO OCAGNANO;60;35
LA TOUR EN MAURIENNE;1180;584
GEZONCOURT;329;164
VOUTENAY SUR CURE;298;148
CONDE;289;145
GUITINIERES;752;378
SELOMMES;344;173
BETHANCOURT EN VALOIS;268;134
LE DOUHET;732;367
AUTOUILLET;275;139
ELLECOURT;247;122
ST MARCEL BEL ACCUEIL;416;208
HYMONT;252;126
STE ANNE SUR GERVONDE;411;205
VILLERS SUR BONNIERES;245;122
ST MORILLON;680;341
COUSTOUGES;117;51
ST GIRONS D AIGUEVIVES;859;430
COURBEHAYE;149;74
CREON;636;317
SERANDON;310;156
BEAUCOURT;302;151
VOUDENAY;289;143
SAVIGNY EN SEPTAINE;267;133
VANTOUX ET LONGEVELLE;381;187
COLLONGES AU MONT D OR;178;88
ST JEAN DE MINERVOIS;568;285
LE PLESSIS BELLEVILLE;274;136
MONTSERIE;356;177
STE HELENE DU LAC;339;171
ST CHRISTOPHE DES BARDES;518;259
JAULZY;242;124
CREOT;153;78
VERONNE;460;230
ST JEAN DES ECHELLES;318;158
LES ESSARTS;367;184
DOUCIER;565;283
MINIAC SOUS BECHEREL;553;277
HOLACOURT;160;79
MOUTIER D AHUN;280;141
CROS DE MONTVERT;351;175
BAZANCOURT;424;210
BENONCES;478;239
CAIRANNE;528;262
BAUDRIERES;341;171
POUZAUGES;583;290
SASSETOT LE MALGARDE;91;46
LA PENNE SUR L OUVEZE;552;280
CHANCEAUX SUR CHOISILLE;358;179
LE CAIRE;665;334
LA CHAPELLE DES MARAIS;579;292
ST HILAIRE LA GRAVELLE;313;157
MONTBAZIN;1031;518
ST OUEN DES ALLEUX;558;278
LA TRINITE DES LAITIERS;388;195
GUITRANCOURT;307;153
DALUIS;534;267
MAZEROLLES;2910;1453
LA MEYZE;298;150
ESPERAUSSES;485;240
LANO;80;40
PINON;256;126
CRISTOT;491;246
MONPAZIER;383;192
HANVEC;131;65
AMBRINES;62;31
ROQUECOR;340;170
ORANGE;664;335
MAGNY LES JUSSEY;345;173
SENCONAC;204;103
COULMIER LE SEC;249;124
COULOMBIERS;422;209
LA CHAPELLE ST MARTIN EN PLAINE;279;139
INAUMONT;297;148
ROFFIAC;297;149
OYRE;408;204
LANS;285;143
PREVENCHERES;466;235
RORBACH LES DIEUZE;246;125
CHAMPEAU EN MORVAN;282;140
VILLERS FAUCON;165;83
SILLEY BLEFOND;199;100
AVRIGNEY VIREY;381;191
RUMEGIES;144;80
ST MARTIN D AOUT;390;196
SENLIS;340;170
LOUTEHEL;465;233
VILLONCOURT;263;132
TEILLET ARGENTY;245;122
ST BLIN;304;153
VOLGELSHEIM;231;116
MAEL CARHAIX;233;120
LA CORNE EN VEXIN;264;131
LAMALOU LES BAINS;628;314
BONNEMAIN;665;331
SENOVILLE;321;166
FRAIMBOIS;257;127
LAY LAMIDOU;313;161
TRAMPOT;279;139
LES EPARGES;282;140
MALHERBE SUR AJON;465;233
BOUSIES;132;66
ST MARTIN LE NOEUD;113;56
SAULGE;336;168
BULLAINVILLE;270;135
MONTROND LE CHATEAU;421;210
LANGRES;271;135
CAVILLON;200;98
ST ALLOUESTRE;360;180
ECHANDELYS;301;151
LES BOIS D ANJOU;425;212
CHALEY;506;251
L ECHELLE;326;165
LA PELLERINE;1038;518
BONCOURT LE BOIS;156;78
TREZENY;152;72
SENEUJOLS;406;203
ROGNA;549;275
ANDELAIN;138;70
VILLERS AUX VENTS;323;161
BRUAILLES;445;221
SOMMETTE EAUCOURT;194;97
ST PIERRE AVEZ;639;321
MENETREOLS SOUS VATAN;283;142
BASLIEUX;493;245
GRUSON;104;53
BRIE SOUS ARCHIAC;592;297
DOEUIL SUR LE MIGNON;718;359
BRAUVILLIERS;322;161
FICHOUS RIUMAYOU;357;178
DAOURS;82;41
CHANDOLAS;443;222
ZUYTPEENE;71;36
COTTEVRARD;289;145
BRICQUEVILLE;424;212
ST GEORGES SUR MOULON;316;158
VERRIERES EN ANJOU;455;229
STE FLORENCE;458;228
TROIS VILLES;330;163
COMBAS;801;400
LA CELLE SUR LOIRE;244;122
SERE RUSTAING;335;167
ECALLES ALIX;291;145
MAISONS LAFFITTE;110;54
COMBOVIN;444;222
GELANNES;252;123
BUS LES ARTOIS;143;71
FEUILLADE;379;188
RETIERS;544;276
VILLEREAL;352;177
ASNIERES SUR SAONE;368;184
FORT MOVILLE;430;217
DOMLEGER LONGVILLERS;164;83
PORSPODER;36;14
BROUENNES;424;213
ST FORGEOT;295;145
VIREUX MOLHAIN;215;106
CORMOT VAUCHIGNON;227;112
BOUILLANCOURT LA BATAILLE;230;113
GIZIA;433;217
CHAUMONT EN VEXIN;277;140
MARLEMONT;328;164
ROGNY;123;62
BONDOUFLE;145;72
MUIDES SUR LOIRE;321;162
CHAMBORD;686;343
FONTAINE LE COMTE;390;195
OUVILLE L ABBAYE;285;143
FEROLLES ATTILLY;257;128
VILLEREAU;482;242
ST GERMAIN D ESTEUIL;1491;732
COUSSEGREY;290;144
BIOZAT;305;153
SERCY;321;161
CREPY;315;153
BATHELEMONT;288;145
NEUILLE;419;210
BACQUEVILLE;242;119
CONTAY;149;74
ST AREY;646;326
CHAVEROCHE;352;176
STE COLOMBE EN AUXOIS;276;138
PALLUAU;982;488
ROMAGNE;1598;801
ABITAIN;431;217
CHARVONNEX;877;429
VEZIERES;389;195
AULLENE;87;44
RATIERES;448;225
DIANT;274;138
LACOURT ST PIERRE;411;206
ST AUNIX LENGROS;318;159
LES BILLANGES;313;157
PARIGNE L EVEQUE;300;149
CHAMBORS;288;144
ST PARDOUX L ORTIGIER;364;183
BAZET;343;171
ST BOIL;291;146
MONCE EN BELIN;388;195
NIEDERLAUTERBACH;175;94
TOUSSIEUX;375;187
LABOISSIERE EN SANTERRE;195;97
ST PIERRE DU CHEMIN;581;291
ST AUBIN DE TERREGATTE;757;378
AOUZE;306;155
PLOUEC DU TRIEUX;308;155
LAON;206;103
LA MEURDRAQUIERE;801;400
BAZOUGES LA PEROUSE;669;336
RENTIERES;363;182
AVESNES;47;24
NEUILLY;584;293
MALICORNAY;310;154
RAON SUR PLAINE;216;108
ST ANDRE DE VALBORGNE;492;244
ROMAGNY;315;157
LONGUEVILLETTE;156;78
PEROLS SUR VEZERE;328;163
TEISSIERES LES BOULIES;346;173
BICKENHOLTZ;287;147
PONTHION;327;165
ST AVAUGOURD DES LANDES;1375;683
MAROMME;275;137
MAURUPT LE MONTOIS;353;176
MOULINS SUR ORNE;414;206
ESTREBOEUF;179;87
BELBEZE EN COMMINGES;349;174
VILLEBAZY;330;168
HADOL;318;158
BOUSBECQUE;72;35
QUINCAMPOIX FLEUZY;201;100
ANOYE;354;177
TRONDES;357;175
PAULMY;363;182
ARRIGNY;301;150
CHAMPVANS LES MOULINS;215;108
VILLETTES;286;144
ST CRESPIN;335;169
FRESNES EN WOEVRE;335;168
LAGARDE HACHAN;334;167
ZELLENBERG;329;164
HANCOURT;214;108
LA MOTTE CHALANCON;540;268
CONCRESSAULT;287;143
FISLIS;199;100
OROUX;552;276
BARBEY SEROUX;260;130
HORVILLE EN ORNOIS;302;151
ANIZY LE GRAND;258;126
GAAS;472;236
ST PIERRE DE VARENGEVILLE;258;129
ASPRIERES;345;172
MARANGE SILVANGE;394;196
MONBARDON;333;166
CHASSIGNY SOUS DUN;315;158
PLOUVIEN;55;28
ROUGEOU;322;159
MARCEY LES GREVES;914;458
BULAN;280;140
AUTREY LES GRAY;323;160
PLOURIN;55;26
ESTEVELLES;74;37
NUZEJOULS;334;167
VERGONGHEON;319;160
MORETTE;478;237
ARBERATS SILLEGUE;436;218
ROUESSE FONTAINE;360;179
ST MARTIN LE GREARD;438;225
ANGLESQUEVILLE LA BRAS LONG;294;146
ST COLOMB DE LAUZUN;419;209
ROCHE LINOTTE ET SORANS CORDIERS;173;86
ST JEAN D AULPS;864;440
SERQUIGNY;375;189
LES TROIS MOUTIERS;461;232
CORNOD;558;281
MARINGUES;268;134
BOURRAN;418;209
FAUGERES;999;500
LUC SUR MER;620;307
COULADERE;365;184
THIEFFRAIN;250;125
LE GRAND LEMPS;447;222
RICQUEBOURG;114;57
ST ANDRE LES VERGERS;278;139
MONTREUIL DES LANDES;548;274
PREMONT;146;73
BRIATEXTE;381;192
CHATEAUNEUF DU RHONE;498;250
CHAMALOC;588;292
FEIGNEUX;276;140
NAZELLES NEGRON;326;162
MARQUERIE;147;74
GRATENTOUR;356;179
TERCILLAT;322;161
COTTUN;533;268
SOLAURE EN DIOIS;544;274
THIANCOURT;362;180
SOULTZ SOUS FORETS;224;113
DOUELLE;336;168
CORNOT;289;146
SAUVELADE;361;180
LONGUEVILLE;1671;843
ST FIRMIN SUR LOIRE;279;140
MONTOULIEU;1016;505
BOEN SUR LIGNON;340;170
CRASVILLE;567;282
ST PIERRE LA BRUYERE;322;161
LEZIGNEUX;392;197
MARNANS;444;223
SELLES;1231;621
FLORAC TROIS RIVIERES;408;204
LIZIERES;339;169
VAUX SUR SEINE;282;141
PUILLY ET CHARBEAUX;435;218
BARATIER;812;408
MONTPINIER;211;105
CELLE LEVESCAULT;439;221
BAIVES;256;130
ARCONSAT;328;164
CHALANCEY;284;141
ST GEORGES SUR LA PREE;294;146
CAMPUGNAN;488;243
ST DOMET;295;148
ST VICTOR SUR OUCHE;295;148
LA GREVE SUR MIGNON;770;385
DOMMARTIN SOUS AMANCE;269;135
LEZINNES;277;139
GIRANCOURT;314;157
GROSBOIS;366;184
LOBSANN;226;109
LA CHAUX EN BRESSE;383;192
BOMPAS;609;305
CHAREY;294;147
NANTERRE;259;129
SIGLOY;258;130
PITHIVIERS;260;131
TRONGET;269;133
CHATILLON SUR LOIRE;258;128
ST COME;533;265
MONTJOIE LE CHATEAU;375;189
LA ROQUE D ANTHERON;741;373
CASTELSAGRAT;367;183
ST AUBIN DE BRANNE;603;301
CEYRESTE;721;355
MONTCUIT;490;245
MARMONT PACHAS;420;207
ST LEOPARDIN D AUGY;287;143
DURTOL;252;127
BRIE SOUS MORTAGNE;756;369
BEAUCOURT SUR L HALLUE;92;47
WARSY;227;113
LAPS;332;167
SAVERNE;242;122
ST CHRISTOPHE SUR LE NAIS;319;159
